 DBN,frequency,Block type,Status,BNL shipment,Shipped on,Comment,Prototype,Fiber type,Fiber batch,Filling time (h),FF date,Filled by,Checked by,W powder,W bucket number,Mold number,Empty mold (g),Filled mold (g),W filling mass (g),fibers loaded by,W filling date,W filled by,Epoxy batch,Resin mass (g),Hardener mass (g),potting notes,Epoxy filling time (min),Epoxy filling date,Epoxy preparer,Delta Mach-Pot,Machining date,Machined by,L (in),BT (in),BB (in),BH (in),ST (in),SB (in),SH (in),Volume (mL),Measured by,Mass (g),Measured by,Density(g/mL),Tested on,# Fibers N,Good end,ABS N-W (%),# Fibers / # Holes (%),10-15(%),15-50(%),50-75(%),r75 (%),R,T1(BL) Fiber %,T2(BR) Fiber %,T3(TL) Fiber %,T4(TR) Fiber %, missing row?,13 connected holes?,FOM_N,FOM_I,Tested by,Tested on,Scintillation (mV),Calibration (mV),Ratio (Calibrated Twice),Tested by,Tested on,Natural Pictures,Tested by,Retouch,Density Result Checked?,Light Checked?,Natural Pictures checked?,Sector ID (SSCR),LT M/D/YYYY,Days Mach-LT,Scint M/D/YYYY,Block Grade,De,Di,LT,LTQ,Vi,Sci,Pic,X,LT-all,DBN,S-left,S-right,column,row,relative W weight,Δ(L) [mm],Δ(BT) [mm],Δ(BB) [mm],Δ(BH) [mm],Δ(ST) [mm],Δ(SB) [mm],Δ(SH) [mm]
37,BL123-SG47-20,123,7,1,10/2/2018,,Sector 0,SG47,0,,8/31/2017,Saad,,HCS,HCS-1,2,1119,4896,3777,ET,7/9/2018,ET,,,,,,7/11/2018,ET,-43292,,,5.4755,2.0813,2.0693,1.9773,1.8245,1.8115,1.9798,345.6,,3186,Anabel,9.22,,2667,,,99.96,,,,,,,,,,,,,,Anabel,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5a,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,37,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
38,BL123-SG47-16,123,7,1,10/2/2018,,Sector 0,SG47,0,,8/1/2017,Saad,,HCS,HCS-2,2,not measured,4859,,ET,8/22/2018,CR,,,,,,,,0,,,5.4825,2.0815,2.0710,1.9728,1.8235,1.8198,1.9813,346.2,,3278,Anabel,9.47,,2662,,,99.78,,,,,,,,,,,,,,Anabel,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5a,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,38,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
39,BL123-SG47-12,123,0,,,,Sector 0,SG47,1-A,1.00,8/21/2018,Saad,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0.0,,,,#DIV/0!,,,,,0.00,,,,,,,,,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,39,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
40,BL123-SG47-8,123,7,1,10/2/2018,,Sector 0,SG47,0,2.50,7/26/2017,Anabel,,HCS,HCS-1,2,1116,4872,3756,ET,7/9/2018,ET,2,160,40,,31.5,7/13/2018,ET,-43294,,,5.4700,2.0803,2.0665,1.9740,1.8243,1.8075,1.9768,344.4,,3242,Anabel,9.41,,2664,,,99.85,,,,,,,,,,,,,,Anabel,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5a,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,40,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
41,BL123-SG47-19,123,7,1,10/2/2018,,Sector 0,SG47,0,,8/2/2017,Saad,,THP,5,2,1114,4970,3856,ET,8/2/2018,ET,2,160,40,0 left,16.83,8/3/2018,ET,-43315,,,5.4935,2.0905,2.0723,1.9740,1.8240,1.8048,1.9705,345.9,,3282,Anabel,9.49,,2666,,,99.93,,,,,,,,,,,,,,Anabel,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5a,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,41,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
42,BL123-SG47-15,123,8,,,Stark test 4,Sector 0,SG47,0,,8/1/2017,Saad,,HCS,HCS-2,,1116,4843,3727,ET,8/2/2018,ET,2,160,40, 11 left,15.27,8/3/2018,ET,-43315,,,5.4898,2.0743,2.0650,1.9690,1.8178,1.8100,1.9738,344.4,,3102,Anabel,9.01,,2668,,,100.00,,,,,,,,,,,,,,Anabel,#NUM!,208.443,208.443,1.000,Xiaoning,20190506,,,,,,,,#NUM!,#NUM!,43591,8,5a,#N/A,5a,#N/A,#N/A,5a,FALSE,FALSE,#N/A,42,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
43,BL123-SG47-11,123,8,,,,Sector 0,SG47,0,,7/28/2017,Justine,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0.0,,,,#DIV/0!,,,,,0.00,,,,,,,,,,,,,,,#NUM!,,,#DIV/0!,,,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#DIV/0!,FALSE,FALSE,#N/A,43,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
44,BL14-SG47-7,14,7,5,4/10/2019,,Sector 0,SG47,1-A,2.50,10/1/2018,Shashwat,,THP,18,,1052,4638,3586,ET,3/7/2019,ET,3,140,35,,4,3/7/2019,ET,-43531,,,5.1038,2.0608,2.0205,2.1758,1.8350,1.8033,1.9925,337.3,Joseph,3092,Anmol,9.17,,2662,W,0.2624,99.78,0.0376,0.7137,0.9767,1.7,0.100,100,100.3,99.7001,99.1004,,,,,Joseph,#NUM!,236.244,,,Xiaoning,,20190327,Xiaoning,,,,,,#NUM!,#NUM!,#NUM!,5b,5a,#N/A,5a,5a,#N/A,#N/A,1,FALSE,#N/A,44,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
45,BL123-SG47-18,123,0,,,,Sector 0,SG47,0,,8/2/2017,Saad,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0.0,,,,#DIV/0!,,,,,0.00,,,,,,,,,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,45,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
46,BL123-SG47-14,123,7,1,10/2/2018,,Sector 0,SG47,0,2.00,8/1/2017,Anabel,,HCS,HCS-2,2,1138,5011,3873,ET,8/22/2018,MA,,,,,,,,0,,,5.4938,2.0863,2.0803,1.9783,1.8233,1.8160,1.9770,347.5,,3270,Anabel,9.41,,2657,,,99.59,,,,,,,,,,,,,,Anabel,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5a,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,46,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
47,BL123-SG47-10,123,7,1,10/2/2018,,Sector 0,SG47,0,,7/28/2017,Saad,,THP,8,2,1123,4964,3841,ET,7/6/2018,SA,2,160,40,W probably 8,,7/6/2018,ET,-43287,,,5.4820,2.0748,2.0728,1.9663,1.8188,1.8150,1.9768,344.5,,3388,Anabel,9.83,,2649,,,99.29,,,,,,,,,,,,,,Anabel,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5a,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,47,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
48,BL123-SG47-6,123,7,1,10/2/2018,,Sector 0,SG47,0,,7/26/2017,Saad,,HCS,HCS-1,2,1135,4935,3800,ET,8/30/2018,MA,,,,,,,,0,,,5.4885,2.0725,2.0700,1.9715,1.8160,1.8193,1.9765,345.3,,3164,Anabel,9.16,,2656,,,99.55,,,,,,,,,,,,,,Anabel,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5a,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,48,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
49,BL19-SG47-2,19,7,0,10/1/2017,shipping date for all V2.1 is estinated to be 10/1/2017; but the real date is not known,V2.1,SG47,0,2.00,6/19/2017,Saad,,THP,9,,1121,4737,3616,,,,,,,W probably 9 to 12,,,,0,,,5.3370,2.0780,2.0160,2.1660,1.8690,1.8160,1.9850,353.9,,3315,ET/Anabel,9.37,,2660,,,99.70,,,,3.3,0.123,,,,,,,0.0087,0.009,Anabel,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5a,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,49,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
50,BL19-SG47-5,19,7,0,10/1/2017,,V2.1,SG47,0,2,6/28/2017,Saad,,THP,9,,1111,4810,3699,,,,,,,W probably 9 to 12,,,,0,,,5.3440,2.0790,2.0250,2.1550,1.8850,1.8290,1.9890,355.4,,3320,ET/Anabel,9.34,,2664,,,99.85,,,,4.1,0.190,,,,,,,0.0024,0.022,Anabel,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5a,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,50,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
51,BL19-SG47-3,19,8,,,,N/A,SG47,0,2.00,6/20/2017,Saad,,THP,,,1110,4895,3785,,,,,,,,,,,0,,,,,,,,,,0.0,,,,#DIV/0!,,,,,0.00,,,,,,,,,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,51,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
52,BL21-SG47-4,21,7,0,10/1/2017,,V2.1,SG47,0,1.75,6/27/2017,Ari,,THP,9,,1135,5043,3908,,,,,,,W probably 9 to 12,,,,0,,,5.4940,2.0720,2.0090,2.1400,1.8840,1.8180,1.9830,361.9,,3439,ET/Anabel,9.50,,2649,,,99.29,,,,1.9,0.124,,,,,,,0.0048,0.012,Anabel,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5a,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,52,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
53,BL20-SG47-3,20,8,,,Died by Fire 10/21,N/A,SG47,0,2.00,6/23/2017,Justine,,THP,,,1105,4670,3565,,,,,,,,,,,0,,,5.4180,2.0900,2.0180,2.1410,1.8760,1.8120,1.9800,357.4,,3314,ET,9.27,,,,,0.00,,,,,,,,,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,#N/A,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,53,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
54,BL20-SG47-1,20,7,0,10/1/2017,,V2.1,SG47,0,2.50,6/21/2017,Saad,,THP,9,,1124,4588,3464,,,,,,,W probably 9 to 12,,,,0,,,5.3950,2.0840,2.0210,2.1330,1.8820,1.8210,1.9740,355.1,,3301,ET/Anabel,9.29,,2659,,,99.66,,,,2.6,0.136,,,,,,,0.0039,0.016,Anabel,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5a,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,54,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
55,BL20-SG47-5,20,8,,,,N/A,SG47,0,1.75,6/27/2017,Saad,,THP,,,1093,4843,3750,,,,,,,,,,,0,,,,,,,,,,0.0,,,,#DIV/0!,,,,,0.00,,,,,,,,,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,55,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
56,BL20-SG47-2,20,8,,,Storm cloud,N/A,SG47,0,2.00,6/22/2017,Saad,,THP,,,1112,4871,3759,,,,,,,,,,,0,,,5.4520,2.0820,2.0150,2.1380,1.8730,1.8200,1.9750,358.6,,3399,ET/Anabel,9.48,,,,,0.00,,,,,,,,,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,#N/A,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,56,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
57,BL21-SG47-3,21,7,0,10/1/2017,,V2.1,SG47,0,2,6/21/2017,Justine,,THP,9,,1129,5127,3998,,,,,,,W probably 9 to 12,,,,0,,,5.4780,2.0860,2.0130,2.1370,1.8710,1.8190,1.9800,360.6,,3400,ET/Anabel,9.43,,2661,,,99.74,,,,5.4,0.151,,,,,,,0.0137,0.018,Anabel,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5a,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,57,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
58,BL21-SG47-1,21,7,0,,,??,SG47,0,2.50,6/19/2017,Justine,,THP,,,1153,4990,3837,,,,,,,,,,,0,,,,,,,,,,0.0,,,,#DIV/0!,,,,,0.00,,,,,,,,,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,58,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
59,BL21-SG47-2,21,7,0,10/1/2017,,V2.1,SG47,0,,,,,THP,9,,1122,4859,3737,,,,,,,W probably 9 to 12,,,,0,,,5.4910,2.0850,2.0240,2.1450,1.8730,1.8130,1.9790,362.4,,3407,ET/Anabel,9.40,,2654,,,99.48,,,,4.5,0.177,,,,,,,0.0229,0.021,Anabel,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5a,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,59,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
60,BL22-SG47-1,22,7,0,10/1/2017,,V2.1,SG47,0,2.25,6/19/2017,Ari,,THP,9,,1115,4756,3641,,,,,,,W probably 9 to 12,,,,0,,,5.5750,2.0770,2.0190,2.1380,1.8740,1.8180,1.9760,366.7,,3391,ET/Anabel,9.25,,2667,,,99.96,,,,8.8,0.182,,,,,,,0.0073,0.013,Anabel,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5a,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,60,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
61,BL22-SG47-3,22,8,,,,??,SG47,0,1.75,6/27/2017,Justine,,THP,,,1182,4875,3693,,,,,,,,,,,0,,,5.5750,2.0820,2.0170,2.1330,1.8820,1.8180,1.9900,367.9,,3540,ET,9.62,,,,,0.00,,,,,,,,,,,,,,,#NUM!,393.578,,,Unknown,,,,,,,,,#NUM!,#NUM!,#NUM!,8,5a,#N/A,#N/A,#N/A,#N/A,#N/A,FALSE,FALSE,#N/A,61,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
62,BL22-SG47-2,22,7,0,10/1/2017,,V2.1,SG47,0,2.25,6/19/2017,Ari,,THP,9,,1146,5117,3971,ET,11/19/2018,ET,,,,W probably 9 to 12,,,,0,,,5.5530,2.0820,2.0160,2.1340,1.8830,1.8200,1.9850,366.2,,3369,ET/Anabel,9.20,,2667,,,99.96,,,,2.5,0.128,,,,,,,0.0192,0.021,Anabel,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5a,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,62,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
63,BL4-SG47-1,4,7,4,3/15/2019,Foggy,Sector 0,SG47,0,0.90,9/15/2017,Ari,,THP,15,3,1110,5053,3943,ET,2/14/2019,ET,3,140,35,,8.5,2/15/2019,ET,-43511,,,5.4418,2.0878,2.0640,2.2685,1.8125,1.8008,1.9875,370.1,Xiaoning,3312,Xiaoning,8.95,,2575,N,0.9745,96.51,12.2330,5.8641,0.3495,18.4,0.224,,,,,,,,,Joseph/Xiaoning,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,5a,#N/A,5c,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,63,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
64,BL4-SG47-2,4,7,4,3/15/2019,Dropped,Sector 0,SG47,0,1.50,9/15/2017,Justine,,HCS,HCS-13,2,,,0,,,,3,140,35,fast,,11/20/2018,ET,-43424,,,5.3493,2.0825,2.0663,2.2595,1.8298,1.8150,1.9748,363.2,Joseph,3342,Joseph,9.20,,2634,W,0.0749,98.73,,,,1.5,0.102,,,,,,,,,Xiaoning,#NUM!,323.822,,,Xiaoning/Joseph,,,,,,,,,#NUM!,#NUM!,#NUM!,8,5a,#N/A,5a,#N/A,#N/A,#N/A,FALSE,FALSE,#N/A,64,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
65,BL4-SG47-3,4,7,2,11/9/2018,,Sector 0,SG47,0,0.90,9/15/2017,Saad,,THP,3,2,1146,5346,4200,ET,8/30/2018,MA,2,160,40,,7,8/30/2018,ET,-43342,,,5.3725,2.0875,2.0678,2.2533,1.8260,1.8130,1.9785,364.6,,3474,Anabel,9.53,,2596,,,97.30,,,,,,,,,,,,,,Anabel,#NUM!,333.925,,,Anabel,,,,,,,,,#NUM!,#NUM!,#NUM!,8,5a,#N/A,5b,#N/A,#N/A,#N/A,FALSE,FALSE,#N/A,65,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
66,BL4-SG47-4,4,7,3,,,Sector 0,SG47,0,1.20,9/15/2017,Saad,,THP,7,3,1154,5199,4045,ET,7/5/2018,ET,2,160,40,,,7/6/2018,ET,-43287,,,5.4488,2.0695,2.0803,2.2673,1.8233,1.8180,1.9813,371.1,,3530,Anabel,9.51,,2561,,,95.99,,,,,,,,,,,,,,Anabel,#NUM!,356.512,,,Anabel,,,,,,,,,#NUM!,#NUM!,#NUM!,8,5a,#N/A,8,#N/A,#N/A,#N/A,FALSE,FALSE,#N/A,66,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
67,BL5-SG47-1,5,0,,,,Sector 0,SG47,0,1.20,10/4/2017,Mike/Ari,,,,,,,0,,,,,,,,,,,0,,,,,,,,,,0.0,,,,#DIV/0!,,,,,0.00,,,,,,,,,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,67,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
68,BL5-SG47-2,5,7,2,11/9/2018,,Sector 0,SG47,0,1.00,9/20/2017,Ari,,THP,3,2,1162,5105,3943,ET,7/5/2018,ET,2,160,40,,7.5,8/30/2018,ET,-43342,,,5.2720,2.0850,2.0588,2.2445,1.8375,1.8080,1.9708,356.1,,3490,Anabel,9.80,,2650,,,99.33,,,,,,,,,,,,,,Anabel,#NUM!,345.662,,,Anabel,,,,,,,,,#NUM!,#NUM!,#NUM!,8,5a,#N/A,5a,#N/A,#N/A,#N/A,FALSE,FALSE,#N/A,68,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
69,BL5-SG47-3,5,7,2,11/9/2018,1/2 filt,Sector 0,SG47,0,4.00,9/26/2017,Ben,,THP,13,3,1136,5136,4000,ET,10/8/2018,ET,3,140,35,1/2 filt,10,7/6/2018,ET,-43287,,,5.3048,2.0888,2.0700,2.2625,1.8360,1.8178,1.9828,362.0,,3352,Anabel,9.26,,2667,,,99.96,,,,,,,,,,,,,,Anabel,#NUM!,353.547,,,Anabel,,,,,,,,,#NUM!,#NUM!,#NUM!,8,5a,#N/A,5a,#N/A,#N/A,#N/A,FALSE,FALSE,#N/A,69,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
70,BL5-SG47-4,5,7,2,11/9/2018,,Sector 0,SG47,0,2.00,9/21/2017,Justine,,THP,7,2,1162,5105,3943,ET,7/5/2018,ET,2,160,40,,,7/6/2018,ET,-43287,,,5.3503,2.0808,2.0703,2.2533,1.8178,1.8140,1.9805,362.7,,3334,Anabel,9.19,,2626,,,98.43,,,,,,,,,,,,,,Anabel,#NUM!,375.017,,,Anabel,,,,,,,,,#NUM!,#NUM!,#NUM!,8,5a,#N/A,5a,#N/A,#N/A,#N/A,FALSE,FALSE,#N/A,70,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
71,BL7-SG47-1,7,7,2,11/9/2018,,Sector 0,SG47,0,1.00,9/25/2017,Ari,,THP,7,3,1092,5079,3987,ET,7/5/2018,ET,2,160,40,,,7/6/2018,ET,-43287,,,5.1893,2.0680,2.0665,2.2328,1.8205,1.8153,1.9615,347.9,,3318,Anabel,9.54,,2625,,,98.39,,,,,,,,,,,,,,Anabel,#NUM!,359.406,,,Anabel,,,,,,,,,#NUM!,#NUM!,#NUM!,8,5a,#N/A,5a,#N/A,#N/A,#N/A,FALSE,FALSE,#N/A,71,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
72,BL7-SG47-2,7,7,4,3/15/2019,Dropped; 1/2 filt,Sector 0,SG47,0,2.00,9/25/2017,Janais,,THP,1,3,1094,4981,3887,ET,10/8/2018,ET,3,140,35,full filt,19,10/9/2018,ET,-43382,,,5.1853,2.0943,2.0670,2.2300,1.8430,1.8245,1.9743,351.0,Xiaoning,3214,Xiaoning,9.16,,2493,W,0.3748,93.44,1.9655,1.8051,0.3610,4.1,0.138,,,,,,,,,Xiaoning/Joseph,#NUM!,297.702,,,Xiaoning/Joseph,,,,,,,,,#NUM!,#NUM!,#NUM!,8,5a,#N/A,8,#N/A,#N/A,#N/A,FALSE,FALSE,#N/A,72,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
73,BL7-SG47-3,7,7,5,4/10/2019,,Sector 0,SG47,0,1.30,9/26/2017,Justine,,THP,17,,1068,4728,3660,ET,3/5/2019,ET,3,140,35,,4.5,3/5/2019,ET,-43529,,,5.1990,2.0688,2.0443,2.2588,1.8183,1.7933,1.9773,350.0,Joseph,3174,Joseph,9.07,,2666,N,0.7871,99.93,0.1125,0.7127,0.7502,1.6,0.109,102.099,100,102.249,95.3523,,,,,Joseph,#NUM!,250.339,,,Xiaoning,,20190327,Xiaoning,,,,,,#NUM!,#NUM!,#NUM!,5b,5a,#N/A,5a,5b,#N/A,#N/A,1,FALSE,#N/A,73,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
74,BL7-SG47-4,7,0,,,,Sector 0,SG47,0,0.50,3/4/2019,Saad,,THP,23,2,1116,4914,3798,,,,,,,,,,,0,,,,,,,,,,0.0,,,,#DIV/0!,,,,,0.00,,,,,,,,,,,,,,,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,not finished testing,#DIV/0!,#N/A,#N/A,#N/A,#N/A,#NUM!,FALSE,FALSE,#N/A,74,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
75,BL8-SG47-1,8,8,,,Special Wet Test 20 min shaking,Sector 0,SG47,0,1.50,9/26/2017,Saad,,HCS,HCS-13,2,1068,4013,2945,ET,5/15/2019,ET,4,140,35,wet test block,3,5/15/2019,ET,-43600,,,5.2133,2.2308,2.2353,2.0643,1.9810,1.9948,1.8268,352.1,Yuxuan,2458,Yuxuan,6.98,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,#VALUE!,#VALUE!,#VALUE!,8,8,#N/A,5a,5a,#N/A,5a,1,FALSE,#N/A,75,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
76,BL8-SG47-2,8,7,4,3/15/2019,,Sector 0,SG47,0,1,9/26/2017,Saad,,THP,14,2,1498,4858,3360,ET,11/19/2018,ET,3,140,35,good,,11/20/2018,ET,-43424,,,5.1285,2.0770,2.0470,2.2200,1.8455,1.8205,1.9850,345.3,Xiaoning,3136,Joseph,9.08,,2594,N,0.0750,97.23,,,,4.0,0.139,,,,,,,,,Xiaoning,#NUM!,339.188,,,Xiaoning/Joseph,,,,,,,,,#NUM!,#NUM!,#NUM!,8,5a,#N/A,5b,#N/A,#N/A,#N/A,FALSE,FALSE,#N/A,76,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
77,BL8-SG47-3,8,7,4,3/15/2019,,Sector 0,SG47,0,1.10,9/26/2017,Ari,,THP,15,3,1076,4865,3789,ET,2/14/2019,ET,3,140,35,,6,2/15/2019,ET,-43511,,,5.1355,2.0823,2.0645,2.2263,1.8423,1.8075,1.9813,346.4,Xiaoning,3126,Xiaoning,9.02,,2622,W,0.1500,98.28,3.0892,1.1823,0.0763,4.3,0.144,,,,,,,,,Joseph/Xiaoning,#NUM!,108.6,,,#NUM!,#NUM!,,,,,,,,#NUM!,#NUM!,#NUM!,8,5a,#N/A,5a,#N/A,#N/A,#N/A,FALSE,FALSE,#N/A,77,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
